age_s,dmarried_s,empl_06,salary_06,profit_06,days_06,hours_06,contract_06,dformal_06,educ_s,age_lb,dmarried_lb,empl_04,salary_04,profit_04,days_04,hours_04,contract_04,dformal_04,select,pempl_06,pempl_04,dcontinue,codigo_ecap,codigo_curs,dwomen,p_selecap,select_dwomen,city_1_0,city_2_0,city_3_0,city_4_0,city_5_0,city_6_0,city_7_0,educ_lb_0_0,educ_lb_2_0,educ_lb_3_0,educ_lb_4_0,educ_lb_5_0,educ_lb_6_0,educ_lb_7_0,educ_lb_8_0,educ_lb_9_0,educ_lb_10_0,educ_lb_11_0,educ_lb_12_0,educ_lb_13_0,educ_lb_14_0,educ_lb_16_0
22.0,0.0,1.0,0.0,100000.0,26.0,56.0,0.0,0.0,5.0,0.18181818181818188,0.0,1.0,0.32,0.0,0.8666666666666667,0.5042016806722689,0.0,0.0,0,0.0,1.0,1.0,3.0,63520505.0,0.0,0.6666667,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
23.0,1.0,1.0,0.0,300000.0,8.0,20.0,0.0,0.0,5.0,0.36363636363636354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1.0,3.0,66210010.0,1.0,0.6666667,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.45454545454545436,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1.0,3.0,13140010.0,1.0,0.6666667,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
25.0,0.0,1.0,408.0,0.0,26.0,48.0,0.0,0.0,11.0,0.45454545454545436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,1.0,3.0,93620005.0,0.0,0.6666667,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.5454545454545452,0.0,1.0,0.358,0.0,0.8666666666666667,0.40336134453781514,1.0,1.0,1,0.0,1.0,1.0,3.0,63110010.0,1.0,0.6666667,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.5454545454545452,1.0,1.0,0.0,0.2222222222222222,1.0,0.1764705882352941,0.0,0.0,0,0.0,0.0,1.0,3.0,93620005.0,1.0,0.6666667,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
21.0,0.0,1.0,380.0,0.0,25.0,66.0,0.0,0.0,11.0,0.18181818181818188,0.0,1.0,0.33999999999999997,0.0,1.0,0.5882352941176471,0.0,0.0,0,1.0,1.0,1.0,3.0,63110010.0,0.0,0.6666667,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
22.0,0.0,1.0,0.0,50000.0,4.0,4.0,0.0,0.0,11.0,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1.0,3.0,66210010.0,1.0,0.6666667,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
21.0,0.0,1.0,280.0,0.0,15.0,45.0,0.0,0.0,11.0,0.09090909090909083,0.0,1.0,0.0,0.16666666666666666,0.6666666666666666,0.226890756302521,0.0,0.0,0,1.0,0.0,1.0,3.0,93620005.0,0.0,0.6666667,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
25.0,1.0,1.0,420.0,0.0,28.0,48.0,1.0,1.0,11.0,0.45454545454545436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,1.0,3.0,93620005.0,0.0,0.6666667,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
